#(V05.02.04C) EGD Point List Report for PTT_1609256_59_T1,,,,,,,,,,,,,,,,,,
Entry No,Variable,Point Name,Point Offset,Direction,Data Type,CIMPLICITY Resource,Units,Producer ID,Period(ms),Exchange Name,Destination,Description,Alias,Second Language Description,Path,Format Specification,,
955,SLWCRNK_ET,EGD.ProducedPages.DigitalOUT.Exchange6.Point_639,06.0136.0,ReadOnly,REAL,,s,1701122220,160,Exchange6,172.16.111.255,Slow Crank Expired Time,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:DigitalOUT|EgdExchange:Exchange6|EgdVariable:SLWCRNK_ET,SEC,,
959,F2LPRG_RT,EGD.ProducedPages.DigitalOUT.Exchange6.Point_637,06.0128.0,ReadOnly,REAL,,s,1701122220,160,Exchange6,172.16.111.255,Engine fail to lite purge remaining time,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:DigitalOUT|EgdExchange:Exchange6|EgdVariable:F2LPRG_RT,SEC,,
960,WUTIME_RT,EGD.ProducedPages.DigitalOUT.Exchange6.Point_630,06.0100.0,ReadOnly,REAL,,s,1701122220,160,Exchange6,172.16.111.255,Gas turbine warm-up time - Remaining time,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:DigitalOUT|EgdExchange:Exchange6|EgdVariable:WUTIME_RT,SEC,,
962,CRNKTO_RT,EGD.ProducedPages.DigitalOUT.Exchange6.Point_632,06.0108.0,ReadOnly,REAL,,s,1701122220,160,Exchange6,172.16.111.255,Engine test crank timeout - Remaining time,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:DigitalOUT|EgdExchange:Exchange6|EgdVariable:CRNKTO_RT,SEC,,
963,PRGTO_RT,EGD.ProducedPages.DigitalOUT.Exchange6.Point_633,06.0112.0,ReadOnly,REAL,,s,1701122220,160,Exchange6,172.16.111.255,Engine purge timeout - Remaining time,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:DigitalOUT|EgdExchange:Exchange6|EgdVariable:PRGTO_RT,SEC,,
988,ONLWWTO_RT,EGD.ProducedPages.DigitalOUT.Exchange6.Point_644,06.0156.0,ReadOnly,REAL,,s,1701122220,160,Exchange6,172.16.111.255,Engine on-line water wash timeout - Remaining time,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:DigitalOUT|EgdExchange:Exchange6|EgdVariable:ONLWWTO_RT,SEC,,
1016,WWASHTO_RT,EGD.ProducedPages.DigitalOUT.Exchange6.Point_625,06.0080.0,ReadOnly,REAL,,s,1701122220,160,Exchange6,172.16.111.255,Engine off-line water wash timeout -Remaining time,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:DigitalOUT|EgdExchange:Exchange6|EgdVariable:WWASHTO_RT,SEC,,
1031,LOCKTME_ET,EGD.ProducedPages.DigitalOUT.Exchange6.Point_629,06.0096.0,ReadOnly,REAL,,s,1701122220,160,Exchange6,172.16.111.255,Engine lock-out elapsed time,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:DigitalOUT|EgdExchange:Exchange6|EgdVariable:LOCKTME_ET,SEC,,
1032,TGBC_ALMSP,EGD.ProducedPages.DigitalOUT.Exchange6.Point_628,06.0092.0,ReadOnly,REAL,,?,1701122220,160,Exchange6,172.16.111.255,Transfer gearbox sump C temperature alarm setpoint,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:DigitalOUT|EgdExchange:Exchange6|EgdVariable:TGBC_ALMSP,TC,,
1193,AF_NUMVAR,EGD.ProducedPages.DigitalOUT.Exchange6.Point_624,06.0078.0,ReadOnly,INT,,,1701122220,160,Exchange6,172.16.111.255,Number of variables forced,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:DigitalOUT|EgdExchange:Exchange6|EgdVariable:AF_NUMVAR,,,
1264,EXCIDLE_RT,EGD.ProducedPages.DigitalOUT.Exchange6.Point_641,06.0144.0,ReadOnly,REAL,,s,1701122220,160,Exchange6,172.16.111.255,Engine core idle running time - Remaining time,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:DigitalOUT|EgdExchange:Exchange6|EgdVariable:EXCIDLE_RT,SEC,,
1269,GTPURG_RT,EGD.ProducedPages.DigitalOUT.Exchange6.Point_626,06.0084.0,ReadOnly,REAL,,s,1701122220,160,Exchange6,172.16.111.255,Engine purge remaining time,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:DigitalOUT|EgdExchange:Exchange6|EgdVariable:GTPURG_RT,SEC,,
1282,AC2CIDL_RT,EGD.ProducedPages.DigitalOUT.Exchange6.Point_636,06.0124.0,ReadOnly,REAL,,s,1701122220,160,Exchange6,172.16.111.255,Acceleration to core idle - Remaining time,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:DigitalOUT|EgdExchange:Exchange6|EgdVariable:AC2CIDL_RT,SEC,,
1283,IGNTIME_RT,EGD.ProducedPages.DigitalOUT.Exchange6.Point_634,06.0116.0,ReadOnly,REAL,,s,1701122220,160,Exchange6,172.16.111.255,Combustor ignition allowed time - Remaining time,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:DigitalOUT|EgdExchange:Exchange6|EgdVariable:IGNTIME_RT,SEC,,
1290,AXSQWTO_ET,EGD.ProducedPages.DigitalOUT.Exchange6.Point_643,06.0152.0,ReadOnly,REAL,,s,1701122220,160,Exchange6,172.16.111.255,Auxiliaries startup elapsed time upon WASH mode,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:DigitalOUT|EgdExchange:Exchange6|EgdVariable:AXSQWTO_ET,SEC,,
1298,ENGCLDW_RT,EGD.ProducedPages.DigitalOUT.Exchange6.Point_640,06.0140.0,ReadOnly,REAL,,s,1701122220,160,Exchange6,172.16.111.255,Engine cooldown at core idle - Remaining timr,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:DigitalOUT|EgdExchange:Exchange6|EgdVariable:ENGCLDW_RT,SEC,,
